Employee_number,company_plan_type,Rate
529639,EE AD&D,0.46
529639,D ER Sales Tax,0.43
529639,D Sales Tax,0.6
529639,EE DENTAL,7.5
529639,EE HEALTH,12
529639,H ER Sales Tax,0.76
529639,H Sales Tax,0.96
529659,EE AD&D,0.23
529659,D ER Sales Tax,0.43
529659,D Sales Tax,0.6
529659,EE DENTAL,7.5
529659,EE HEALTH,12
529659,H ER Sales Tax,0.76
529659,H Sales Tax,0.96
530104,EE AD&D,0.46
530104,EE DENTAL,7.5
530104,EE HEALTH,12
531677,EE AD&D,0.46
531677,D ER Sales Tax,0.49
531677,D Sales Tax,0.68
531677,EE DENTAL,7.5
531677,EE HEALTH,12
531677,H ER Sales Tax,0.86
531677,H Sales Tax,1.08
534007,EE AD&D,0.23
534007,EE DENTAL,7.5
534007,EE HEALTH,12
534114,EE AD&D,0.23
534114,EE DENTAL,7.5
534114,EE HEALTH,12
534326,EE AD&D,0.46
534326,D ER Sales Tax,0.43
534326,D Sales Tax,0.6
534326,EE DENTAL,7.5
534326,EE HEALTH,12
534326,H ER Sales Tax,0.76
534326,H Sales Tax,0.96
534438,EE AD&D,0.23
534438,D ER Sales Tax,1.23
534438,D Sales Tax,1.58
534438,EE DENTAL,17.5
534438,EE HEALTH,27
534438,H ER Sales Tax,1.92
534438,H Sales Tax,2.43
537949,EE AD&D,0.23
537949,D ER Sales Tax,0.49
537949,D Sales Tax,0.68
537949,EE DENTAL,7.5
537949,EE HEALTH,12
537949,H ER Sales Tax,0.86
537949,H Sales Tax,1.08
537976,EE AD&D,0.23
537976,D ER Sales Tax,0.43
537976,D Sales Tax,0.6
537976,EE DENTAL,7.5
537976,EE HEALTH,12
537976,H ER Sales Tax,0.76
537976,H Sales Tax,0.96
538000,EE AD&D,0.46
538000,EE DENTAL,7.5
538000,EE HEALTH,12
538769,EE AD&D,0.23
538769,D ER Sales Tax,0.49
538769,D Sales Tax,0.68
538769,EE DENTAL,7.5
538769,EE HEALTH,12
538769,H ER Sales Tax,0.86
538769,H Sales Tax,1.08
538779,EE AD&D,0.23
538779,D ER Sales Tax,0.49
538779,D Sales Tax,0.68
538779,EE DENTAL,7.5
538779,EE HEALTH,12
538779,H ER Sales Tax,0.86
538779,H Sales Tax,1.08
539669,EE AD&D,0.46
539669,D ER Sales Tax,0.43
539669,D Sales Tax,0.6
539669,EE DENTAL,7.5
539669,EE HEALTH,12
539669,H ER Sales Tax,0.76
539669,H Sales Tax,0.96
540231,EE AD&D,0.46
540231,D ER Sales Tax,0.43
540231,D Sales Tax,0.6
540231,EE DENTAL,7.5
540231,EE HEALTH,12
540231,H ER Sales Tax,0.76
540231,H Sales Tax,0.96
541583,EE AD&D,0.23
541583,EE DENTAL,7.5
541583,EE HEALTH,12
543544,EE AD&D,0.46
543544,EE DENTAL,17.5
543544,EE HEALTH,27
544330,EE AD&D,0.23
544330,D ER Sales Tax,1.09
544330,D Sales Tax,1.4
544330,EE DENTAL,17.5
544330,EE HEALTH,27
544330,H ER Sales Tax,1.71
544330,H Sales Tax,2.16
545243,EE AD&D,0.23
545243,D ER Sales Tax,0.43
545243,D Sales Tax,0.6
545243,EE DENTAL,7.5
545243,EE HEALTH,12
545243,H ER Sales Tax,0.76
545243,H Sales Tax,0.96
545728,EE AD&D,0.23
545728,D ER Sales Tax,0.43
545728,D Sales Tax,0.6
545728,EE DENTAL,7.5
545728,EE HEALTH,12
545728,H ER Sales Tax,0.76
545728,H Sales Tax,0.96
546002,EE AD&D,0.23
546002,EE DENTAL,7.5
546002,EE HEALTH,12
546075,EE AD&D,2.31
546075,D ER Sales Tax,0.43
546075,D Sales Tax,0.6
546075,EE DENTAL,7.5
546075,EE HEALTH,12
546075,H ER Sales Tax,0.76
546075,H Sales Tax,0.96
546323,EE AD&D,0.46
546323,EE DENTAL,7.5
546323,EE HEALTH,12
546725,EE AD&D,0.46
546725,EE DENTAL,7.5
546725,EE HEALTH,12
546776,EE AD&D,0.23
546776,EE DENTAL,7.5
546776,EE HEALTH,12
547310,EE AD&D,2.31
547310,D ER Sales Tax,0.43
547310,D Sales Tax,0.6
547310,EE DENTAL,7.5
547310,EE HEALTH,12
547310,H ER Sales Tax,0.76
547310,H Sales Tax,0.96
547656,EE AD&D,0.23
547656,D ER Sales Tax,0.43
547656,D Sales Tax,0.6
547656,EE DENTAL,7.5
547656,EE HEALTH,12
547656,H ER Sales Tax,0.76
547656,H Sales Tax,0.96
547972,EE AD&D,0.46
547972,EE DENTAL,7.5
547972,EE HEALTH,12
550192,EE AD&D,0.23
550192,D ER Sales Tax,0.43
550192,D Sales Tax,0.6
550192,EE DENTAL,7.5
550192,EE HEALTH,12
550192,H ER Sales Tax,0.76
550192,H Sales Tax,0.96
551533,EE AD&D,0.23
551533,D ER Sales Tax,0.43
551533,D Sales Tax,0.6
551533,EE DENTAL,7.5
551533,EE HEALTH,12
551533,H ER Sales Tax,0.76
551533,H Sales Tax,0.96
551566,EE AD&D,0.23
551566,EE DENTAL,7.5
551566,EE HEALTH,12
551816,EE AD&D,0.23
551816,D ER Sales Tax,0.43
551816,D Sales Tax,0.6
551816,EE DENTAL,7.5
551816,EE HEALTH,12
551816,H ER Sales Tax,0.76
551816,H Sales Tax,0.96
552011,EE AD&D,0.46
552011,D ER Sales Tax,0.43
552011,D Sales Tax,0.6
552011,EE DENTAL,7.5
552011,EE HEALTH,12
552011,H ER Sales Tax,0.76
552011,H Sales Tax,0.96
552124,EE AD&D,0.46
552124,EE DENTAL,17.5
552124,EE HEALTH,27
553452,EE AD&D,0.23
553452,D ER Sales Tax,0.43
553452,D Sales Tax,0.6
553452,EE DENTAL,7.5
553452,EE HEALTH,12
553452,H ER Sales Tax,0.76
553452,H Sales Tax,0.96
554622,EE AD&D,0.23
554622,D ER Sales Tax,0.43
554622,D Sales Tax,0.6
554622,EE DENTAL,7.5
554622,EE HEALTH,12
554622,H ER Sales Tax,0.76
554622,H Sales Tax,0.96
555213,EE AD&D,0.46
555213,EE DENTAL,7.5
555213,EE HEALTH,12
555942,EE AD&D,0.23
555942,EE DENTAL,7.5
555942,EE HEALTH,12
555985,EE AD&D,0.46
555985,EE DENTAL,7.5
555985,EE HEALTH,12
556014,EE AD&D,0.23
556014,EE DENTAL,7.5
556014,EE HEALTH,12
556102,EE AD&D,0.23
556102,EE DENTAL,7.5
556102,EE HEALTH,12
556906,EE AD&D,0.23
556906,EE DENTAL,7.5
556906,EE HEALTH,12
557609,EE AD&D,0.46
557609,EE DENTAL,17.5
557609,EE HEALTH,27
557928,EE AD&D,0.23
557928,D ER Sales Tax,0.43
557928,D Sales Tax,0.6
557928,EE DENTAL,7.5
557928,EE HEALTH,12
557928,H ER Sales Tax,0.76
557928,H Sales Tax,0.96
558728,EE AD&D,0.23
558728,EE DENTAL,7.5
558728,EE HEALTH,12
558807,EE AD&D,0.46
558807,EE DENTAL,7.5
558807,EE HEALTH,12
559544,EE AD&D,0.23
559544,D ER Sales Tax,0.43
559544,D Sales Tax,0.6
559544,EE DENTAL,7.5
559544,EE HEALTH,12
559544,H ER Sales Tax,0.76
559544,H Sales Tax,0.96
560188,EE AD&D,0.23
560188,EE DENTAL,7.5
560188,EE HEALTH,12
560351,EE AD&D,0.23
560351,EE DENTAL,7.5
560351,EE HEALTH,12
561767,EE AD&D,0.23
561767,EE DENTAL,7.5
561767,EE HEALTH,12
561773,EE AD&D,0.23
561773,EE DENTAL,7.5
561773,EE HEALTH,12
562544,EE AD&D,0.23
562544,D ER Sales Tax,0.43
562544,D Sales Tax,0.6
562544,EE DENTAL,7.5
562544,EE HEALTH,12
562544,H ER Sales Tax,0.76
562544,H Sales Tax,0.96
562547,EE AD&D,0.46
562547,EE DENTAL,7.5
562547,EE HEALTH,12
562592,EE AD&D,2.31
562592,EE DENTAL,7.5
562592,EE HEALTH,12
563648,EE AD&D,0.23
563648,D ER Sales Tax,0.43
563648,D Sales Tax,0.6
563648,EE DENTAL,7.5
563648,EE HEALTH,12
563648,H ER Sales Tax,0.76
563648,H Sales Tax,0.96
563956,EE AD&D,0.23
563956,D ER Sales Tax,0.43
563956,D Sales Tax,0.6
563956,EE DENTAL,7.5
563956,EE HEALTH,12
563956,H ER Sales Tax,0.76
563956,H Sales Tax,0.96
564090,EE AD&D,0.23
564090,EE DENTAL,7.5
564090,EE HEALTH,12
564457,EE AD&D,0.23
564457,D ER Sales Tax,0.49
564457,D Sales Tax,0.68
564457,EE DENTAL,7.5
564457,EE HEALTH,12
564457,H ER Sales Tax,0.86
564457,H Sales Tax,1.08
564472,EE AD&D,0.46
564472,EE DENTAL,7.5
564472,EE HEALTH,12
564667,EE AD&D,0.23
564667,EE DENTAL,17.5
564667,EE HEALTH,27
564823,EE AD&D,0.23
564823,D ER Sales Tax,0.43
564823,D Sales Tax,0.6
564823,EE DENTAL,7.5
564823,EE HEALTH,12
564823,H ER Sales Tax,0.76
564823,H Sales Tax,0.96
564991,EE AD&D,0.23
564991,EE DENTAL,7.5
564991,EE HEALTH,12
565144,EE AD&D,0.23
565144,D ER Sales Tax,0.43
565144,D Sales Tax,0.6
565144,EE DENTAL,7.5
565144,EE HEALTH,12
565144,H ER Sales Tax,0.76
565144,H Sales Tax,0.96
565361,EE AD&D,0.23
565361,EE DENTAL,7.5
565361,EE HEALTH,12
565387,EE AD&D,0.23
565387,D ER Sales Tax,0.43
565387,D Sales Tax,0.6
565387,EE DENTAL,7.5
565387,EE HEALTH,12
565387,H ER Sales Tax,0.76
565387,H Sales Tax,0.96
565617,EE AD&D,0.23
565617,EE DENTAL,7.5
565617,EE HEALTH,12
565676,EE AD&D,0.46
565676,EE DENTAL,17.5
565676,EE HEALTH,27
566327,EE AD&D,0.46
566327,D ER Sales Tax,0.43
566327,D Sales Tax,0.6
566327,EE DENTAL,7.5
566327,EE HEALTH,12
566327,H ER Sales Tax,0.76
566327,H Sales Tax,0.96
566953,EE AD&D,0.46
566953,D ER Sales Tax,0.43
566953,D Sales Tax,0.6
566953,EE DENTAL,7.5
566953,EE HEALTH,12
566953,H ER Sales Tax,0.76
566953,H Sales Tax,0.96
567445,EE AD&D,0.23
567445,D ER Sales Tax,0.43
567445,D Sales Tax,0.6
567445,EE DENTAL,7.5
567445,EE HEALTH,12
567445,H ER Sales Tax,0.76
567445,H Sales Tax,0.96
567450,EE AD&D,0.23
567450,EE DENTAL,7.5
567450,EE HEALTH,12
568026,EE AD&D,0.46
568026,EE DENTAL,17.5
568026,EE HEALTH,27
568156,EE AD&D,0.23
568156,D ER Sales Tax,0.49
568156,D Sales Tax,0.68
568156,EE DENTAL,7.5
568156,EE HEALTH,12
568156,H ER Sales Tax,0.86
568156,H Sales Tax,1.08
568303,EE AD&D,0.23
568303,EE DENTAL,7.5
568303,EE HEALTH,12
568593,EE AD&D,0.46
568593,D ER Sales Tax,1.09
568593,D Sales Tax,1.4
568593,EE DENTAL,17.5
568593,EE HEALTH,27
568593,H ER Sales Tax,1.71
568593,H Sales Tax,2.16
568679,EE AD&D,0.23
568679,EE DENTAL,7.5
568679,EE HEALTH,12
569009,EE AD&D,0.23
569009,D ER Sales Tax,0.43
569009,D Sales Tax,0.6
569009,EE DENTAL,7.5
569009,EE HEALTH,12
569009,H ER Sales Tax,0.76
569009,H Sales Tax,0.96
570108,EE AD&D,0.23
570108,D ER Sales Tax,0.49
570108,D Sales Tax,0.68
570108,EE DENTAL,7.5
570108,EE HEALTH,12
570108,H ER Sales Tax,0.86
570108,H Sales Tax,1.08
570254,EE AD&D,0.23
570254,EE DENTAL,7.5
570254,EE HEALTH,12
572695,EE AD&D,0.23
572695,D ER Sales Tax,0.43
572695,D Sales Tax,0.6
572695,EE DENTAL,7.5
572695,EE HEALTH,12
572695,H ER Sales Tax,0.76
572695,H Sales Tax,0.96
573908,EE AD&D,0.23
573908,EE DENTAL,7.5
573908,EE HEALTH,12
574146,EE AD&D,0.23
574146,D ER Sales Tax,1.09
574146,D Sales Tax,1.4
574146,EE DENTAL,17.5
574146,EE HEALTH,27
574146,H ER Sales Tax,1.71
574146,H Sales Tax,2.16
583739,EE AD&D,1.15
583739,EE DENTAL,7.5
583739,EE HEALTH,12
600088,EE AD&D,0.23
600088,D ER Sales Tax,1.09
600088,D Sales Tax,1.4
600088,EE DENTAL,17.5
600088,EE HEALTH,27
600088,H ER Sales Tax,1.71
600088,H Sales Tax,2.16
600278,EE AD&D,0.23
600278,EE DENTAL,7.5
600278,EE HEALTH,12
600336,EE AD&D,0.23
600336,D ER Sales Tax,0.43
600336,D Sales Tax,0.6
600336,EE DENTAL,7.5
600336,EE HEALTH,12
600336,H ER Sales Tax,0.76
600336,H Sales Tax,0.96
